"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"CATEGORY";"CREATED_BY";"DESCRIPTION";"DIGIKEY_PART_NUMBER";"HEIGHT";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OPERATING_TEMP";"PACKAGE";"PART_STATUS";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"ROHS_COMPLIANT";"SERIES";"SPICEPREFIX";"SUB-CATEGORY";"THERMALLOSS";"TP_SIGNAL_NAME";"TYPE";"VALUE";
"1";"";"ANTENNA2.4GHZ-8.0X1.0MM";"ANT-2.4GHZ-8.0X1.0MM";"A1";"Single-ended Antennae";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ANT-14377";"";"";"";"";"";"";"";"";"";
"1";"";"SMD5";"SMD2,54-5,08";"BATT";"SMD PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"21";"";"";"";"";"";"";"";"";"";"";"";
"1";"0";"0OHM-0402T-1/10W";"0402-TIGHT";"L1";"0Ω resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-14244";"";"";"";"";"";"";"";"";"0";
"2";"0";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"R55, R56";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-14241";"";"";"";"";"";"";"";"";"10k";
"1";"0";"R-US_M0805";"M0805";"R44";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"";"R";"";"";"";"";"";
"5";"0";"R-US_R0402";"R0402";"R6, R11, R14, R38, R41";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"34";"";"";"";"";"";"R";"";"";"";"";"";
"4";"0.1uF";"0.1UF-0402T-16V-10%";"0402-TIGHT";"C20, C21, C23, C25";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"";"";"";"";"0.1uF";
"3";"100k";"R-US_R0402";"R0402";"R10, R20, R22";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"34";"";"";"";"";"";"R";"";"";"";"";"";
"27";"100nF";"C-EUC0603K";"C0603K";"C7, C11, C14, C15, C17, C18, C24, C28, C29, C33, C35, C36, C39, C40, C42, C43, C45, C46, C48, C49, C53, C55, C57, C58, C60, C61, C64";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"";"C";"";"";"";"";"";
"1";"100uF";"CPOL-EUA/3216-18R";"A/3216-18R";"C62";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10118193-0001LF";"MICRO-USB-SMD-B-(10118193-0001LF)";"MICRO-USB5+6P-SMD-0.65-B";"USB1";"Seeed SKU 320010003 - SMD Micro USB-B";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10118193-0001LF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10118193-0001LF";
"4";"10k";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"R1, R9, R17, R18";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-14241";"";"";"";"";"";"";"";"";"10k";
"13";"10k";"R-US_R0402";"R0402";"R7, R32, R33, R34, R35, R39, R45, R46, R47, R48, R49, R50, R51";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"34";"";"";"";"";"";"R";"";"";"";"";"";
"1";"10nF";"10NF-0402T-25V-10%";"0402-TIGHT";"C5";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-14847";"";"";"";"";"";"";"";"";"10nF";
"1";"10nF";"C-EUC0603K";"C0603K";"C38";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"";"C";"";"";"";"";"";
"1";"10uF";"10UF-0402T-6.3V-20%";"0402-TIGHT";"C22";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-14848";"";"";"";"";"";"";"";"";"10uF";
"2";"12pF";"12PF-0402T-50V-5%";"0402-TIGHT";"C3, C4";"12pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-14665";"";"";"";"";"";"";"";"";"12pF";
"2";"15pF";"15PF-0402T-50V-5%";"0402-TIGHT";"C9, C26";"15pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-13063";"";"";"";"";"";"";"";"";"15pF";
"1";"1M";"R-US_R0402";"R0402";"R13";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"34";"";"";"";"";"";"R";"";"";"";"";"";
